Term,es,nes,pval,fdr,gene_set_size,matched_size,genes
Galactose metabolism_Homo sapiens_hsa00052,-0.5513563237808019,-1.7584949648244188,0.003875968992248062,0.04335770884173779,30,30,"AKR1B1,B4GALT2,PFKM,HK1,HK3,G6PC2,PFKP,GALK1,LALBA,B4GALT1,GCK,GAA,LCT,G6PC3,GALT,GLA,GALE,PGM2,UGP2,HK2,SI,HKDC1,GLB1,MGAM,PFKL,GANC,G6PC,AKR1B10,PGM1,GALM"
Pentose and glucuronate interconversions_Homo sapiens_hsa00040,-0.655936504614225,-1.725875816296309,0.010224948875255624,0.044733137594015204,36,24,"AKR1B1,KL,ALDH1B1,UGT1A6,DHDH,XYLB,UGT2A1,UGT2B17,UGT2B4,UGT2B15,SORD,GUSB,DCXR,UGP2,AKR1A1,UGDH,RPE,UGT2B28,AKR1B10,ALDH2,UGT2A3,ALDH3A2,UGT1A1,CRYL1"
Carbon metabolism_Homo sapiens_hsa01200,-0.5460061578631223,-1.784489050016188,0.005825242718446602,0.0448955145994924,113,111,"PHGDH,ENO2,RGN,PRPS1,PFKM,HK1,ALDOC,HK3,ADPGK,SDHD,PFKP,PSAT1,PRPS1L1,ADH5,ACSS1,PSPH,PGAM1,DAK,TKTL1,ESD,OGDHL,G6PD,PKM,TKTL2,H6PD,SHMT1,GCK,PGAM2,CPS1,ACO2,SHMT2,OGDH,ME3,TPI1,ENO3,AGXT,PDHB,TKT,GLUD2,ACO1,GLDC,HAO1,MTHFR,SDHB,ENO1,ACAT1,PGLS,CAT,RPIA,IDH2,PGD,ME1,PDHA2,GOT2,SDS,HAO2,PKLR,GPI,PGP,IDH3A,DLST,AMT,PGK2,PGK1,PCCB,GLUD1,MDH1,PRPS2,MCEE,ALDOA,ACSS2,FBP2,TALDO1,IDNK,IDH3G,FH,HK2,PC,GPT2,DLAT,PCCA,HKDC1,PFKL,ALDOB,SDHC,GAPDH,GPT,DLD,IDH3B,FBP1,RPE,SUCLA2,GOT1,CS,ME2,HADHA,ACAT2,MDH2,ACADS,ACADM,EHHADH,ALDH6A1,SDSL,SDHA,ECHS1,SUCLG1,PDHA1,HIBCH,MUT,IDH1,SUCLG2"
Citrate cycle (TCA cycle)_Homo sapiens_hsa00020,-0.753641733538516,-1.8014722146131759,0.0018975332068311196,0.04491140681704974,30,30,"SDHD,OGDHL,ACO2,OGDH,PDHB,ACO1,ACLY,SDHB,IDH2,PDHA2,IDH3A,DLST,MDH1,IDH3G,FH,PC,DLAT,PCK1,SDHC,PCK2,DLD,IDH3B,SUCLA2,CS,MDH2,SDHA,SUCLG1,PDHA1,IDH1,SUCLG2"
Retinol metabolism_Homo sapiens_hsa00830,-0.5477236015990165,-1.727950154946853,0.02028397565922921,0.045986298622746356,65,48,"ADH1B,HSD17B6,ALDH1A2,AOX1,CYP26B1,ADH5,CYP26A1,CYP1A2,CYP1A1,ADH7,UGT1A6,CYP2A6,CYP3A4,ADH4,ALDH1A1,RDH11,CYP2C8,RDH16,UGT2A1,DHRS3,UGT2B17,RDH8,RPE65,UGT2B4,CYP3A5,DHRS4,CYP3A7,UGT2B15,CYP2S1,RDH12,RDH5,SDR16C5,CYP4A11,DGAT1,RDH10,CYP3A7-CYP3AP1,ADH1A,DHRS9,UGT2B28,PNPLA4,ADH1C,CYP2C18,CYP2C9,UGT2A3,UGT1A1,RETSAT,ADH6,CYP2B6"
Huntington's disease_Homo sapiens_hsa05016,-0.4805829107107273,-1.7162109836985155,0.02044989775051125,0.04767665267202733,193,186,"COX7A1,ITPR1,CREB5,POLR2I,POLR2C,PLCB1,BDNF,TGM2,ATP6,POLR2K,COX3,NDUFA4,POLR2G,CREB3L2,DCTN1,TAF4B,SDHD,GPX1,POLR2A,ATP5G2,COX8C,DNAH1,AP2M1,POLR2J2,CLTCL1,NDUFA11,NRF1,COX4I2,NDUFB4,COX7B2,DNAI2,HIP1,DLG4,COX6A2,BBC3,GRM5,UQCRB,HTT,REST,CASP9,NDUFB11,SLC25A31,PLCB2,NDUFB6,NDUFS5,DNAH6,AP2A2,DNALI1,DNAH5,ATP5E,NDUFV3,DNAH11,POLR2J,HAP1,NDUFS4,NDUFA12,POLR2F,CREB1,VDAC3,DNAH3,TBP,DNAH8,POLR2B,DNAL4,CLTC,DNAH2,HDAC2,TAF4,DNAH9,DNAH14,IFT57,AP2S1,NDUFA5,TP53,NDUFA2,POLR2E,TBPL1,DNAI1,DCTN2,NDUFA4L2,DNAH10,COX2,COX7A2L,SDHB,CREB3L3,NDUFB8,SLC25A4,SIN3A,NDUFS7,SOD2,CREB3,SLC25A6,ATP5D,PLCB3,UCP1,NDUFB2,CASP8,AP2B1,NDUFA3,COX6B2,HDAC1,NDUFB10,GRIN2B,CREBBP,TFAM,EP300,POLR2H,GNAQ,POLR2L,VDAC2,ATP5O,DNAH12,BAX,CREB3L4,NDUFV2,CREB3L1,NDUFA7,ATP5J,NDUFS3,DNAL1,NDUFB1,NDUFA13,NDUFB7,ATP5H,SP1,PPARGC1A,GRIN1,UQCRH,NDUFA10,PLCB4,APAF1,COX1,ATP5A1,DNAH7,COX8A,POLR2D,CLTB,NDUFS6,DCTN4,RCOR1,NDUFV1,AP2A1,NDUFB9,UQCR11,COX6B1,UQCRC2,CLTA,NDUFAB1,COX7B,CYC1,NDUFA9,UQCRC1,NDUFA8,COX4I1,DNAH17,SDHC,PPIF,NDUFA1,COX7A2,CYCS,NDUFS1,NDUFB5,ATP5G1,ATP5F1,NDUFA6,ATP5G3,UQCR10,SOD1,UQCRQ,NDUFC2,NDUFB3,ATP5B,UQCRFS1,ATP5C1,COX6A1,VDAC1,COX6C,COX7C,PPARG,COX5A,NDUFS2,SDHA,CASP3,COX5B,SLC25A5,NDUFC1"
Drug metabolism - cytochrome P450_Homo sapiens_hsa00982,-0.514184792534148,-1.729000215337834,0.022222222222222223,0.047722059007905444,69,55,"ADH1B,GSTM5,FMO1,GSTM3,FMO2,AOX1,ADH5,MAOB,GSTM2,CYP1A2,GSTA3,ADH7,UGT1A6,GSTO1,GSTA4,GSTT2,ALDH3B2,CYP2A6,GSTT1,GSTM1,FMO3,CYP3A4,CYP2E1,ADH4,CYP2D6,GSTP1,ALDH1A3,MGST3,CYP2C8,UGT2A1,CYP2C19,UGT2B17,ALDH3B1,UGT2B4,CYP3A5,UGT2B15,ALDH3A1,HPGDS,GSTO2,GSTA1,GSTM4,ADH1A,MGST2,FMO4,UGT2B28,ADH1C,GSTK1,CYP2C9,UGT2A3,MGST1,MAOA,FMO5,UGT1A1,ADH6,CYP2B6"
Fatty acid metabolism_Homo sapiens_hsa01212,-0.6105668703703613,-1.8073530587663789,0.011976047904191617,0.04778260078907628,48,46,"PPT1,PTPLA,FADS1,ELOVL2,ELOVL5,CPT1C,ACSL6,SCD5,ACSBG1,ACADL,FADS2,ACSL4,PTPLAD2,FASN,HSD17B12,MECR,ACSL1,PTPLAD1,ACADVL,ACAT1,ACSBG2,TECR,ACSL3,ACACA,SCD,ELOVL6,MCAT,ACAA2,ACOX3,ACSL5,ACOX1,OXSM,PTPLB,HADHA,ACAT2,ACAA1,CPT1A,ACADS,ACADM,EHHADH,PECR,HADHB,ECHS1,ACADSB,CPT2,HADH"
Peroxisome_Homo sapiens_hsa04146,-0.6229951485526176,-1.8266821338503685,0.003913894324853229,0.0489026237407366,83,82,"PIPOX,ACSL6,MPV17,HMGCLL1,MPV17L2,ABCD1,ACSL4,PEX3,PEX6,GNPAT,PMVK,PAOX,PEX12,ABCD2,BAAT,PEX14,PEX10,ACSL1,PEX5L,AGXT,HAO1,PEX5,PEX11G,CAT,IDH2,SOD2,PEX16,SLC25A17,DAO,NOS2,DDO,HAO2,MLYCD,MPV17L,ACOX2,HSD17B4,PRDX1,DECR2,DHRS4,ACSL3,PXMP4,PEX13,PEX2,NUDT7,CRAT,HACL1,ABCD4,PEX26,PEX19,AMACR,XDH,PEX7,MVK,NUDT19,CROT,PEX1,ACOX3,ECH1,AGPS,FAR1,ECI2,ACSL5,NUDT12,EPHX2,FAR2,ACOX1,PRDX5,SOD1,SLC27A2,ACAA1,ABCD3,SCP2,PEX11B,GSTK1,EHHADH,PECR,PEX11A,ACOT8,HMGCL,IDH1,PXMP2,PHYH"
Tryptophan metabolism_Homo sapiens_hsa00380,-0.5059980678525956,-1.74215609606238,0.0099601593625498,0.04926587442776157,40,40,"INMT,CYP1B1,KYNU,IDO1,AANAT,AOX1,HAAO,MAOB,CYP1A2,KMO,CCBL1,ALDH1B1,CYP1A1,TPH1,AADAT,TDO2,ACMSD,OGDHL,TPH2,OGDH,AFMID,IL4I1,CCBL2,ACAT1,CAT,IDO2,GCDH,ASMT,AOC1,ALDH7A1,ALDH9A1,HADHA,ACAT2,EHHADH,ALDH2,DDC,MAOA,ALDH3A2,ECHS1,HADH"
beta-Alanine metabolism_Homo sapiens_hsa00410,-0.5733008460022432,-1.72916529925088,0.008064516129032258,0.04996513200028464,31,31,"AOC3,SRM,CNDP1,GADL1,ALDH1B1,UPB1,ALDH3B2,AOC2,DPYD,CNDP2,SMS,DPYS,ALDH1A3,GAD2,SMOX,ALDH3B1,MLYCD,CARNS1,ALDH3A1,GAD1,ALDH7A1,ALDH9A1,HADHA,ACADM,EHHADH,ALDH2,ALDH6A1,ALDH3A2,ECHS1,HIBCH,ABAT"
Nicotinate and nicotinamide metabolism_Homo sapiens_hsa00760,-0.6190783824914763,-1.7337519479893477,0.004016064257028112,0.05058743778253005,29,29,"NMNAT2,NT5C3B,AOX1,NT5E,CD38,NT5C1B,BST1,NMNAT3,NT5M,NADSYN1,NT5C1A,NNMT,NT5C,NMRK1,NADK2,NMRK2,NT5C1B-RDH14,NAMPT,NNT,PNP,NADK,QPRT,NT5C2,NUDT12,NAPRT,ENPP3,NT5C3A,NMNAT1,ENPP1"
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010,-0.5437756075489254,-1.8082268591810682,0.0058823529411764705,0.0533978509926706,67,66,"ADH1B,ENO2,LDHB,PFKM,HK1,ALDOC,HK3,ADPGK,G6PC2,BPGM,PFKP,ADH5,ACSS1,PGAM1,ALDH1B1,ADH7,LDHAL6A,PKM,ALDH3B2,GCK,PGAM2,ADH4,G6PC3,TPI1,GAPDHS,ENO3,PDHB,ALDH1A3,ENO1,ALDH3B1,PDHA2,PKLR,GPI,PGK2,PGK1,ALDH3A1,LDHAL6B,ALDOA,ACSS2,FBP2,PGM2,LDHA,AKR1A1,HK2,ALDH7A1,DLAT,PCK1,HKDC1,PFKL,ALDOB,GAPDH,ADH1A,PCK2,ALDH9A1,DLD,FBP1,G6PC,ADH1C,LDHC,MINPP1,ALDH2,PGM1,GALM,ALDH3A2,PDHA1,ADH6"
Metabolism of xenobiotics by cytochrome P450_Homo sapiens_hsa00980,-0.5017520113816123,-1.6986995923080561,0.03406813627254509,0.05404625346901017,73,59,"ADH1B,GSTM5,CYP1B1,GSTM3,CBR3,HSD11B1,ADH5,GSTM2,CYP1A2,GSTA3,CYP1A1,ADH7,UGT1A6,DHDH,GSTO1,GSTA4,GSTT2,ALDH3B2,CYP2A6,GSTT1,GSTM1,CYP3A4,CYP2E1,ADH4,EPHX1,SULT2A1,CYP2F1,CYP2D6,GSTP1,ALDH1A3,MGST3,UGT2A1,UGT2B17,ALDH3B1,UGT2B4,CYP3A5,UGT2B15,ALDH3A1,CYP2S1,AKR1C1,HPGDS,CYP2A13,GSTO2,GSTA1,GSTM4,ADH1A,MGST2,CBR1,UGT2B28,AKR7A3,ADH1C,AKR7A2,GSTK1,CYP2C9,UGT2A3,MGST1,UGT1A1,ADH6,CYP2B6"
Parkinson's disease_Homo sapiens_hsa05012,-0.4856390672161516,-1.692018451277446,0.042884990253411304,0.05526824275134245,142,132,"COX7A1,LRRK2,UCHL1,SNCA,GNAI2,UBE2L6,PARK7,ND2,ADCY5,ATP6,GPR37,ND3,SNCAIP,COX3,NDUFA4,SDHD,HTRA2,UBE2G2,UBA1,UBE2J1,ATP5G2,COX8C,PRKACG,NDUFA11,ADORA2A,COX4I2,NDUFB4,COX7B2,COX6A2,UQCRB,UBE2J2,ND6,CASP9,NDUFB11,SLC25A31,GNAL,NDUFB6,NDUFS5,ATP5E,NDUFV3,NDUFS4,NDUFA12,DRD1,VDAC3,ND4,NDUFA5,NDUFA2,SLC18A1,PINK1,UBE2G1,UBE2L3,NDUFA4L2,PRKACA,COX2,COX7A2L,SDHB,PARK2,NDUFB8,SLC25A4,NDUFS7,SLC25A6,ATP5D,NDUFB2,NDUFA3,COX6B2,SLC18A2,NDUFB10,TH,VDAC2,ATP5O,GNAI1,NDUFV2,NDUFA7,ATP5J,NDUFS3,SLC6A3,NDUFB1,NDUFA13,DRD2,NDUFB7,ATP5H,UQCRH,NDUFA10,APAF1,COX1,ATP5A1,COX8A,NDUFS6,GNAI3,NDUFV1,NDUFB9,UQCR11,COX6B1,UQCRC2,NDUFAB1,COX7B,CYC1,NDUFA9,UQCRC1,NDUFA8,COX4I1,SDHC,PPIF,NDUFA1,COX7A2,CYCS,NDUFS1,NDUFB5,ATP5G1,ATP5F1,NDUFA6,ATP5G3,UQCR10,PRKACB,UQCRQ,NDUFC2,NDUFB3,ATP5B,UQCRFS1,ATP5C1,COX6A1,VDAC1,COX6C,COX7C,UBB,COX5A,NDUFS2,SDHA,CASP3,COX5B,SLC25A5,NDUFC1"
Lysine degradation_Homo sapiens_hsa00310,-0.47632311961803797,-1.6742997922575948,0.017475728155339806,0.06339229003428819,52,52,"SETD7,PLOD1,PIPOX,SETD1A,KMT2A,KMT2B,SETD1B,KMT2D,ALDH1B1,SUV420H2,BBOX1,PLOD3,AADAT,OGDHL,EHMT2,SUV39H2,COLGALT2,SETDB1,SUV39H1,OGDH,SETD2,COLGALT1,NSD1,ASH1L,HYKK,EHMT1,AASS,SETD8,KMT2C,ACAT1,DOT1L,SUV420H1,KMT2E,GCDH,WHSC1L1,CAMKMT,WHSC1,DLST,PHYKPL,SETMAR,SETDB2,ALDH7A1,ALDH9A1,HADHA,ACAT2,PLOD2,EHHADH,ALDH2,ALDH3A2,ECHS1,TMLHE,HADH"
Pentose phosphate pathway_Homo sapiens_hsa00030,-0.5261023576225449,-1.6705409578229582,0.007827788649706457,0.0635802218133393,29,28,"RGN,PRPS1,PFKM,ALDOC,PFKP,PRPS1L1,TKTL1,G6PD,TKTL2,H6PD,TKT,PGLS,RPIA,PGD,GPI,PRPS2,ALDOA,FBP2,TALDO1,PGM2,IDNK,PFKL,ALDOB,FBP1,RPE,RBKS,PGM1,DERA"
Bile secretion_Homo sapiens_hsa04976,-0.4452907632553639,-1.6642194342345142,0.009671179883945842,0.06602394383822818,71,70,"ATP1A2,AQP1,CYP7A1,ADCY4,ADCY5,ADCY3,SLCO1B1,KCNN2,ABCB4,ADCY2,AQP4,ADCY7,SLC27A5,SLC22A8,SLC4A2,GNAS,PRKACG,ADCY8,SLC22A7,ATP1A3,BAAT,ADCY1,SCTR,SLC22A1,ATP1B2,SLC9A1,CYP3A4,LDLR,FXYD2,EPHX1,AQP9,SULT2A1,ADCY9,NR0B2,SLCO1A2,PRKACA,SLC4A5,SLC2A1,SLCO1B3,ABCG5,ATP1A4,UGT2B4,SLC10A2,ABCG8,ABCC4,SCARB1,ATP1B4,ABCC2,ABCB1,ATP1B1,ATP1B3,ATP1A1,SLC5A1,NCEH1,SLC10A1,ABCC3,CFTR,SLC9A3,ABCB11,RXRA,AQP8,CA2,PRKACB,SLC51B,SLC4A4,ABCG2,ADCY6,HMGCR,NR1H4,SLC51A"
Histidine metabolism_Homo sapiens_hsa00340,-0.5679452370407035,-1.6481278708539264,0.020242914979757085,0.06706515809198511,24,23,"ASPA,CNDP1,MAOB,ALDH1B1,HAL,ALDH3B2,HDC,CNDP2,AMDHD1,ALDH1A3,ALDH3B1,FTCD,UROC1,CARNS1,ALDH3A1,AOC1,HNMT,ALDH7A1,ALDH9A1,ALDH2,DDC,MAOA,ALDH3A2"
Glyoxylate and dicarboxylate metabolism_Homo sapiens_hsa00630,-0.6197335508604704,-1.6507666128413334,0.017374517374517374,0.06749226143883869,28,28,"GRHPR,GLUL,SHMT1,ACO2,SHMT2,AGXT,ACO1,AFMID,GLDC,HAO1,HOGA1,HYI,ACAT1,CAT,HAO2,PGP,AMT,GCSH,PCCB,MDH1,MCEE,PCCA,DLD,CS,GLYCTK,ACAT2,MDH2,MUT"
Oxidative phosphorylation_Homo sapiens_hsa00190,-0.4976071647406522,-1.639648920691165,0.05918367346938776,0.0677008467942788,133,125,"COX7A1,ATP6V1F,ATP6V0E2,ATP6V1H,ND2,ATP6,ND3,COX3,NDUFA4,ATP6V1E2,ATP6V1E1,ATP6V1C2,ATP6V1G1,ATP4B,SDHD,ATP5G2,COX8C,NDUFA11,TCIRG1,COX4I2,ATP6V0E1,NDUFB4,COX7B2,COX6A2,UQCRB,ATP6V0D2,ND6,ATP6V1B1,NDUFB11,NDUFB6,NDUFS5,LHPP,ATP5E,NDUFV3,NDUFS4,NDUFA12,ATP6V1G2,ND4,NDUFA5,NDUFA2,PPA1,ATP6V0B,NDUFA4L2,COX2,COX7A2L,SDHB,COX10,NDUFB8,ATP6V0A4,COX11,NDUFS7,ATP5I,ATP6V1G3,ATP6V0A1,ATP6V0C,ATP5D,ATP6V1B2,NDUFB2,NDUFA3,COX6B2,COX17,NDUFB10,ATP6V0A2,ATP6V1C1,ATP6AP1,ATP4A,ATP12A,ATP5J2,ATP5O,NDUFV2,NDUFA7,ATP5J,NDUFS3,NDUFB1,NDUFA13,NDUFB7,ATP5H,UQCRH,NDUFA10,COX1,ATP5A1,COX8A,ATP5L,NDUFS6,NDUFV1,NDUFB9,UQCR11,COX6B1,UQCRC2,NDUFAB1,COX7B,CYC1,NDUFA9,UQCRC1,NDUFA8,ATP6V1D,COX4I1,ATP6V1A,SDHC,NDUFA1,ATP6V0D1,COX7A2,NDUFS1,NDUFB5,ATP5G1,ATP5F1,NDUFA6,COX15,ATP5G3,UQCR10,UQCRQ,NDUFC2,NDUFB3,PPA2,ATP5B,UQCRFS1,ATP5C1,COX6A1,COX6C,COX7C,COX5A,NDUFS2,SDHA,COX5B,NDUFC1"
Alzheimer's disease_Homo sapiens_hsa05010,-0.4696825155956585,-1.6576521834940752,0.037698412698412696,0.06782798453473754,168,161,"COX7A1,APBB1,SNCA,RYR3,ITPR1,MAPT,LPL,CACNA1C,NOS1,PLCB1,IL1B,ATP6,APOE,COX3,BACE1,NDUFA4,MME,PPP3CB,NCSTN,SDHD,APH1B,CDK5R1,PPP3CA,ATP5G2,ADAM17,ATF6,COX8C,NDUFA11,COX4I2,TNFRSF1A,CALML6,NDUFB4,COX7B2,ITPR2,COX6A2,ERN1,UQCRB,NAE1,CASP9,NDUFB11,CAPN1,PLCB2,NDUFB6,NDUFS5,CALM1,ATP2A1,ATP5E,NDUFV3,NDUFS4,NDUFA12,CALML5,HSD17B10,CACNA1S,NDUFA5,NDUFA2,GSK3B,GRIN2D,PSEN2,GRIN2A,APP,NDUFA4L2,COX2,CASP12,COX7A2L,BACE2,SDHB,CALML3,NDUFB8,NDUFS7,EIF2AK3,CACNA1D,LRP1,TNF,BID,ATP5D,PLCB3,NDUFB2,CASP8,NDUFA3,COX6B2,NDUFB10,ATP2A2,GRIN2B,MAPK3,PPP3CC,GNAQ,ATP5O,CDK5,PPP3R2,NDUFV2,NDUFA7,ATP5J,FAS,NDUFS3,NDUFB1,ATP2A3,NDUFA13,GRIN2C,PPP3R1,NDUFB7,ATP5H,CACNA1F,GRIN1,UQCRH,NDUFA10,BAD,PLCB4,APAF1,COX1,ATP5A1,COX8A,NDUFS6,PSEN1,MAPK1,NDUFV1,NDUFB9,UQCR11,ITPR3,COX6B1,PSENEN,UQCRC2,NDUFAB1,COX7B,CYC1,NDUFA9,UQCRC1,NDUFA8,COX4I1,SDHC,GAPDH,NDUFA1,COX7A2,CYCS,NDUFS1,NDUFB5,ATP5G1,CAPN2,ATP5F1,FADD,NDUFA6,APH1A,IDE,ATP5G3,UQCR10,ADAM10,UQCRQ,NDUFC2,CASP7,NDUFB3,ATP5B,UQCRFS1,ATP5C1,COX6A1,COX6C,COX7C,COX5A,NDUFS2,SDHA,CASP3,COX5B,NDUFC1"
Chemical carcinogenesis_Homo sapiens_hsa05204,-0.4938513263636326,-1.6421670303090634,0.046370967741935484,0.06826174859042031,82,65,"ADH1B,PTGS2,GSTM5,CYP1B1,GSTM3,HSD11B1,ADH5,GSTM2,CYP1A2,CCBL1,GSTA3,CYP1A1,ADH7,UGT1A6,GSTO1,GSTA4,GSTT2,ALDH3B2,CYP2A6,GSTT1,GSTM1,ARNT,CYP3A4,CYP2E1,ADH4,EPHX1,SULT2A1,GSTP1,ALDH1A3,MGST3,CYP2C8,CCBL2,UGT2A1,CYP2C19,UGT2B17,ALDH3B1,AKR1C2,UGT2B4,CYP3A5,CYP3A7,UGT2B15,ALDH3A1,HPGDS,CYP2A13,SULT1A2,GSTO2,GSTA1,SULT1A1,CYP3A43,GSTM4,CYP3A7-CYP3AP1,ADH1A,MGST2,CBR1,UGT2B28,ADH1C,CYP2C18,GSTK1,CYP2C9,NAT1,UGT2A3,MGST1,UGT1A1,NAT2,ADH6"
Ascorbate and aldarate metabolism_Homo sapiens_hsa00053,-0.6670269448514546,-1.6343932701404202,0.030425963488843813,0.06838950955509698,27,16,"RGN,ALDH1B1,UGT1A6,UGT2A1,UGT2B17,MIOX,UGT2B4,UGT2B15,ALDH7A1,ALDH9A1,UGDH,UGT2B28,ALDH2,UGT2A3,ALDH3A2,UGT1A1"
Pantothenate and CoA biosynthesis_Homo sapiens_hsa00770,-0.5328254203058589,-1.6519531208968774,0.008048289738430584,0.06862362071696321,18,18,"VNN2,BCAT1,VNN1,GADL1,UPB1,PANK2,DPYD,DPYS,AASDHPPT,PANK4,COASY,BCAT2,PPCDC,PANK1,ENPP3,PPCS,ENPP1,PANK3"
